what,kind,bundleId,bundleVersion,description,time
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1302965358957
java.vm.version,sysinfo,,,"19.1-b02",1302965358957
started,bundle,com.android.ide.eclipse.traceview,10.0.1.v201103111512-110841,"com.android.ide.eclipse.traceview",1302965361444
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302965369794
error,log,,,"Unable to read D:\\bin\\android-sdk\\AndroidManifest.xml: java.io.FileNotFoundException: D:\\bin\\android-sdk\\AndroidManifest.xml (The system cannot find the file specified)",1302965380180
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1302965380291
error,log,,,"Unable to read D:\\bin\\android-sdk\\AndroidManifest.xml: java.io.FileNotFoundException: D:\\bin\\android-sdk\\AndroidManifest.xml (The system cannot find the file specified)",1302965380293
error,log,,,"Unable to read D:\\src\\zxing-1.6\\AndroidManifest.xml: java.io.FileNotFoundException: D:\\src\\zxing-1.6\\AndroidManifest.xml (The system cannot find the file specified)",1302965389665
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302965649484
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302965655305
error,log,,,"Unable to read D:\\src\\zxing-1.6\\AndroidManifest.xml: java.io.FileNotFoundException: D:\\src\\zxing-1.6\\AndroidManifest.xml (The system cannot find the file specified)",1302965694545
error,log,,,"Unable to read D:\\src\\zxing-1.6\\AndroidManifest.xml: java.io.FileNotFoundException: D:\\src\\zxing-1.6\\AndroidManifest.xml (The system cannot find the file specified)",1302965694547
error,log,,,"Unable to read D:\\src\\android\\AndroidManifest.xml: java.io.FileNotFoundException: D:\\src\\android\\AndroidManifest.xml (The system cannot find the file specified)",1302965725346
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302965780025
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302965787513
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302965832011
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302965832048
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1302965832826
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1302965835398
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1302965835420
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1302965835547
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302965842550
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302965907725
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302965911173
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302965911287
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302965916097
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302965926444
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1302965926538
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302965940477
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1302965954652
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302965957064
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302965959561
